"dates","title","ressort"
2018-08-24,"Titel, Flugtaxis, Europareise, SPIEGEL BIOGRAFIE","Politik"
2018-08-24,"Titel / Flugtaxis / Europareise / SPIEGEL BIOGRAFIE","Politik"
2018-08-20,"Bahn investiert in Carsharing für Schulkinder ","Mobilität"
2018-08-16,"Verbraucherschützer werfen Bahn irreführende Werbung für City-Ticket vor","Reise"
2018-08-03,"Ist Carsharing in Großstädten wirklich nachhaltig?","Panorama"
2018-07-18,"Bahn will Autofahrer von der Straße locken","Reise"
2018-07-13,"""Ich habe mein Auto kaum vermisst""","Mobilität"
2018-07-11,"Berliner S-Bahn will Verspätungen ausgleichen – indem sie nicht mehr überall hält","Panorama"
2018-06-29,"In Dünkirchen dürfen alle gratis Bus fahren","Mobilität"
2018-06-28,"Mehr Rechte für Radler","Mobilität"
2018-05-28,"Das kommt auf Autofahrer in Hamburg zu","Mobilität"
2018-05-24,"Wir machen Mobilität","Mobilität"
2018-05-05,"Diese Straßenbahn-Fahrer spielen Bowling mit ihren Fahrzeugen","Panorama"
2018-05-04,"Love is in the Air - unser neues Portal planestream","Wissenschaft"
2018-04-27,"Hamburg genehmigt VW-Fahrdienst Moia","Mobilität"
2018-04-20,"Menschen im öffentlichen Dienst verdienen jetzt mehr – aber ist das genug?","Start"
2018-04-16,"Dieser Mann hat Carsharing aufs Dorf gebracht","Start"
2018-04-13,"Schulze prescht bei Gratis-ÖPNV vor","Mobilität"
2018-04-10,"Stressige Wochen für Pendler im Rheinland","Job & Karriere"
2018-04-10,"Zehntausende Passagiere von Flugausfällen betroffen","Reise"
2018-03-26,"Charité testet autonome Busse","Mobilität"
